84K395,K395,Roads Charter School I,Charter,General Academic,High school,09 10 11 12,09 10 11 12,Jul 1 2012,Open,K894,1495 HERKIMER STREET,BROOKLYN,NY,11233,23,84,K01D,OFFICE OF CHARTER SCHOOLS,true
84X422,X422,Icahn Charter School 3,Charter,General Academic,K-8,0K 01 02 03 04 05 06 07,0K 01 02 03 04 05 06 07 08,Jul 1 2008,Open,XAGA,1500 PELHAM PARKWAY SOUTH,BRONX,NY,10461,11,84,K01D,OFFICE OF CHARTER SCHOOLS,true
84X496,X496,Icahn Charter School 4,Charter,General Academic,K-8,0K 01 02 03 04 05 06,0K 01 02 03 04 05 06 07 08,Jul 2 2009,Open,XAGA,1500 PELHAM PARKWAY SOUTH,BRONX,NY,10461,11,84,K01D,OFFICE OF CHARTER SCHOOLS,true
84X538,X538,Icahn Charter School 5,Charter,General Academic,Elementary,01 02 03 04 SE,0K 01 02 03 04 05 06 07 08,Jul 1 2011,Open,XAGA,1500 PELHAM PARKWAY SOUTH,BRONX,NY,10461,11,84,K01D,OFFICE OF CHARTER SCHOOLS,true
08X093,X093,P.S. 093 Albert G. Oliver,DOE,General Academic,Elementary,PK 0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1930,Open,X093,1535 STORY AVENUE,BRONX,NY,10473,8,8,X808,COMMUNITY SCHOOL DISTRICT 08,true
84X362,X362,Icahn Charter School 7,Charter,General Academic,Elementary,0K 01 02 03 04 05 06,0K 01 02 03 04 05 06 07 08,Jul 1 2013,Open,X093,1535 STORY AVENUE,BRONX,NY,10473,8,84,K01D,OFFICE OF CHARTER SCHOOLS,true
14K016,K016,P.S. 016 Leonard Dunkly,DOE,General Academic,Elementary,0K 01 02 03 04 05 06 SE,PK 0K 01 02 03 04 05,Jul 1 1918,Open,K016,157 WILSON STREET,BROOKLYN,NY,11211,14,14,K814,COMMUNITY SCHOOL DISTRICT 14,true
84K355,K355,Williamsburg Collegiate Charter School,Charter,General Academic,Junior High-Intermediate-Middle,04 05 06 07 08 09 10 11 12 SE,05 06 07 08 09 10 11 12,Jul 1 2005,Open,K016,157 WILSON STREET,BROOKLYN,NY,11211,14,84,K01D,OFFICE OF CHARTER SCHOOLS,true
04M497,M497,Central Park East I,DOE,General Academic,Elementary,PK 0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1999,Open,M013,1573 MADISON AVENUE,MANHATTAN,NY,10029,4,4,M804,COMMUNITY SCHOOL DISTRICT 04,true
04M555,M555,Central Park East High School,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jun 5 1996,Open,M013,1573 MADISON AVENUE,MANHATTAN,NY,10029,4,4,M804,COMMUNITY SCHOOL DISTRICT 04,true
